VIN (1-10),County,City,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1N4AZ1BV5P,Thurston,Olympia,98502,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,22,253911717,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012001
JTDACACU0R,Snohomish,Bothell,98012,2024,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,1,261008331,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107
JTMABACA4R,Yakima,Yakima,98903,2024,TOYOTA,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,14,273623304,POINT (-120.4778 46.55351),PACIFICORP,53077002803
KNDC4DLC4P,Kitsap,Suquamish,98392,2023,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,23,244697281,POINT (-122.55242 47.73162),PUGET SOUND ENERGY INC,53035940100
7SAYGDEE1P,Snohomish,Bothell,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,1,256212624,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107
5YJYGDEE8L,Thurston,Tumwater,98501,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,35,124633715,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067011720
1N4BZ1CP8K,Kitsap,Kingston,98346,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,23,332332080,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090102
KNDRJDJH8S,Thurston,Tumwater,98501,2025,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,22,273909751,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010802
WVWPR7AU9K,Snohomish,Edmonds,98020,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,32,476465734,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050502
5YJSA1E26G,Kitsap,Bainbridge Island,98110,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,23,140978687,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035090901
5YJSA1E16G,Kitsap,Port Orchard,98367,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,26,218251925,POINT (-122.68516 47.50645),PUGET SOUND ENERGY INC,53035092902
